Date/Time,Gas:Facility [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly) 
 01/01  01:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,1691670441.79788,116501502.499215,21592146.7968761,18359994.17285,62594539.9509955,11664438.8843779,0.0,2253570.5484079,1691670441.79788 
 01/01  08:00:00,1533553083.73207,102017068.664154,21592146.7968761,18359994.17285,54519242.0400848,7545685.65434287,0.0,0.0,1533553083.73207 
 01/01  09:00:00,1363075577.96474,95878780.3869596,21592146.7968761,18359994.17285,47380148.5062882,7569692.94170722,0.0,964453.13881881,1363075577.96474 
 01/01  10:00:00,788386489.451629,67653931.2366156,21592146.7968761,18359994.17285,20504828.6655876,6708084.92241913,0.0,482583.586361137,788386489.451629 
 01/01  11:00:00,518408570.750041,77270237.4251412,21592146.7968761,18359994.17285,17758661.424544,13692144.6695784,0.0,5789157.00082582,518408570.750041 
 01/01  12:00:00,401522901.241158,76958415.3835757,21592146.7968761,18359994.17285,17462833.1972047,13683598.9026526,0.0,5781683.6987568,401522901.241158 
 01/01  13:00:00,339931933.48136,88606917.6083588,21592146.7968761,18359994.17285,17323603.8288745,19605442.9663767,0.0,11568462.7765224,339931933.48136 
 01/01  14:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,1699703282.77273,118687758.641591,21592146.7968761,18359994.17285,62931131.8432202,12732798.174976,0.0,3025800.66904114,1699703282.77273 
 01/02  07:00:00,1449780506.69377,265489900.755991,97164660.5859424,107999965.722647,53794330.358126,6530944.08927555,0.0,0.0,1449780506.69377 
