Time,VAV_5:Des Heat Mass Flow [kg/s],VAV_5:Des Cool Mass Flow [kg/s],VAV_5:Des Heat Cap [W],VAV_5:Des Sens Cool Cap [W] 
00:15:00,0.000000E+00,1.059539E+00,0.000000E+00,6.288743E+03 
00:30:00,0.000000E+00,1.104957E+00,0.000000E+00,6.848895E+03 
00:45:00,0.000000E+00,1.144137E+00,0.000000E+00,7.321126E+03 
01:00:00,0.000000E+00,1.173927E+00,0.000000E+00,7.653196E+03 
01:15:00,0.000000E+00,1.199340E+00,0.000000E+00,7.922195E+03 
01:30:00,0.000000E+00,1.220595E+00,0.000000E+00,8.127733E+03 
01:45:00,0.000000E+00,1.238296E+00,0.000000E+00,8.278222E+03 
02:00:00,0.000000E+00,1.253766E+00,0.000000E+00,8.393873E+03 
02:15:00,0.000000E+00,1.268158E+00,0.000000E+00,8.518756E+03 
02:30:00,0.000000E+00,1.282810E+00,0.000000E+00,8.647870E+03 
02:45:00,0.000000E+00,1.298389E+00,0.000000E+00,8.791713E+03 
03:00:00,0.000000E+00,1.314578E+00,0.000000E+00,8.945231E+03 
03:15:00,0.000000E+00,1.331175E+00,0.000000E+00,9.131401E+03 
03:30:00,0.000000E+00,1.347541E+00,0.000000E+00,9.314089E+03 
03:45:00,0.000000E+00,1.363532E+00,0.000000E+00,9.491071E+03 
04:00:00,0.000000E+00,1.379057E+00,0.000000E+00,9.660907E+03 
04:15:00,0.000000E+00,1.394101E+00,0.000000E+00,9.875517E+03 
04:30:00,0.000000E+00,1.408597E+00,0.000000E+00,1.008160E+04 
04:45:00,0.000000E+00,1.422548E+00,0.000000E+00,1.027910E+04 
05:00:00,0.000000E+00,1.435953E+00,0.000000E+00,1.046799E+04 
05:15:00,0.000000E+00,1.449234E+00,0.000000E+00,1.073346E+04 
05:30:00,0.000000E+00,1.462660E+00,0.000000E+00,1.100157E+04 
05:45:00,0.000000E+00,1.479041E+00,0.000000E+00,1.131805E+04 
06:00:00,0.000000E+00,1.500921E+00,0.000000E+00,1.172565E+04 
06:15:00,0.000000E+00,3.857576E+00,0.000000E+00,4.926611E+04 
06:30:00,0.000000E+00,7.027260E+00,0.000000E+00,9.247582E+04 
06:45:00,0.000000E+00,1.001451E+01,0.000000E+00,1.234248E+05 
07:00:00,0.000000E+00,1.260121E+01,0.000000E+00,1.403983E+05 
07:15:00,0.000000E+00,1.271957E+01,0.000000E+00,1.343284E+05 
07:30:00,0.000000E+00,1.203452E+01,0.000000E+00,1.262987E+05 
07:45:00,0.000000E+00,1.145374E+01,0.000000E+00,1.201126E+05 
08:00:00,0.000000E+00,1.122291E+01,0.000000E+00,1.177993E+05 
08:15:00,0.000000E+00,1.110823E+01,0.000000E+00,1.168749E+05 
08:30:00,0.000000E+00,1.106817E+01,0.000000E+00,1.167762E+05 
08:45:00,0.000000E+00,1.108305E+01,0.000000E+00,1.172862E+05 
