Time,PERIM-1-NORTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-1-NORTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-1-NORTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-1-NORTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIM-1-EAST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-1-EAST:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-1-EAST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-1-EAST:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIM-1-SOUTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-1-SOUTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-1-SOUTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-1-SOUTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIM-1-WEST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-1-WEST::Des Cool Load [W],PERIM-1-WEST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-1-WEST::Des Cool Mass Flow [kg/s],CORE-1:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE-1::Des Cool Load [W],CORE-1:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE-1::Des Cool Mass Flow [kg/s],PERIM-2-NORTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-2-NORTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-2-NORTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-2-NORTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIM-2-EAST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-2-EAST:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-2-EAST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-2-EAST:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIM-2-SOUTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-2-SOUTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-2-SOUTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-2-SOUTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIM-2-WEST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-2-WEST:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-2-WEST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-2-WEST:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE-2:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE-2:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],CORE-2:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE-2:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIM-3-NORTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-3-NORTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-3-NORTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-3-NORTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIM-3-EAST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-3-EAST:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-3-EAST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-3-EAST:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIM-3-SOUTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-3-SOUTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-3-SOUTH:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-3-SOUTH:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIM-3-WEST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIM-3-WEST:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],PERIM-3-WEST:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIM-3-WEST:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE-3:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE-3:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Load [W],CORE-3:DULUTH ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE-3:DULUTH ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,8.853103E+03,0.000000E+00,6.200868E-01,0.000000E+00,1.467067E+04,0.000000E+00,1.027557E+00,0.000000E+00,8.938502E+03,0.000000E+00,6.260684E-01,0.000000E+00,2.360513E+04,0.000000E+00,1.653478E+00,0.000000E+00,2.730788E+04,0.000000E+00,1.912828E+00,0.000000E+00,6.392674E+03,0.000000E+00,4.477518E-01,0.000000E+00,1.003515E+04,0.000000E+00,7.028736E-01,0.000000E+00,6.445784E+03,0.000000E+00,4.514717E-01,0.000000E+00,9.973786E+03,1.432648E+02,6.985754E-01,8.164598E-03,6.388884E+03,2.917279E+03,4.474740E-01,1.661855E-01,8.057478E+03,0.000000E+00,5.643593E-01,0.000000E+00,1.279665E+04,0.000000E+00,8.962958E-01,0.000000E+00,8.085806E+03,0.000000E+00,5.663435E-01,0.000000E+00,1.276850E+04,0.000000E+00,8.943246E-01,0.000000E+00,1.357959E+04,3.026822E+03,9.511149E-01,1.724281E-01 
00:30:00,8.853113E+03,0.000000E+00,6.200875E-01,0.000000E+00,1.467067E+04,0.000000E+00,1.027557E+00,0.000000E+00,8.938502E+03,0.000000E+00,6.260684E-01,0.000000E+00,2.360507E+04,0.000000E+00,1.653474E+00,0.000000E+00,2.730770E+04,0.000000E+00,1.912815E+00,0.000000E+00,6.392426E+03,0.000000E+00,4.477344E-01,0.000000E+00,1.003468E+04,0.000000E+00,7.028403E-01,0.000000E+00,6.445531E+03,0.000000E+00,4.514541E-01,0.000000E+00,9.973319E+03,2.294613E+02,6.985427E-01,1.307474E-02,6.386328E+03,3.176172E+03,4.472949E-01,1.809347E-01,8.057505E+03,0.000000E+00,5.643612E-01,0.000000E+00,1.279669E+04,0.000000E+00,8.962986E-01,0.000000E+00,8.085832E+03,0.000000E+00,5.663453E-01,0.000000E+00,1.276855E+04,0.000000E+00,8.943276E-01,0.000000E+00,1.357963E+04,3.432309E+03,9.511175E-01,1.955273E-01 
00:45:00,8.853123E+03,0.000000E+00,6.200882E-01,0.000000E+00,1.467066E+04,0.000000E+00,1.027556E+00,0.000000E+00,8.938503E+03,0.000000E+00,6.260685E-01,0.000000E+00,2.360502E+04,0.000000E+00,1.653470E+00,0.000000E+00,2.730752E+04,0.000000E+00,1.912803E+00,0.000000E+00,6.392184E+03,0.000000E+00,4.477175E-01,0.000000E+00,1.003421E+04,0.000000E+00,7.028079E-01,0.000000E+00,6.445285E+03,0.000000E+00,4.514369E-01,0.000000E+00,9.972864E+03,3.053465E+02,6.985108E-01,1.739394E-02,6.383830E+03,3.400762E+03,4.471200E-01,1.937306E-01,8.057530E+03,0.000000E+00,5.643630E-01,0.000000E+00,1.279673E+04,0.000000E+00,8.963013E-01,0.000000E+00,8.085856E+03,0.000000E+00,5.663470E-01,0.000000E+00,1.276859E+04,0.000000E+00,8.943305E-01,0.000000E+00,1.357967E+04,3.780787E+03,9.511200E-01,2.153814E-01 
01:00:00,8.853133E+03,0.000000E+00,6.200890E-01,0.000000E+00,1.467066E+04,0.000000E+00,1.027556E+00,0.000000E+00,8.938504E+03,0.000000E+00,6.260686E-01,0.000000E+00,2.360496E+04,0.000000E+00,1.653466E+00,0.000000E+00,2.730735E+04,0.000000E+00,1.912791E+00,0.000000E+00,6.391949E+03,0.000000E+00,4.477010E-01,0.000000E+00,1.003376E+04,0.000000E+00,7.027763E-01,0.000000E+00,6.445046E+03,0.000000E+00,4.514201E-01,0.000000E+00,9.972420E+03,3.615207E+02,6.984797E-01,2.059394E-02,6.381390E+03,3.588162E+03,4.469491E-01,2.044073E-01,8.057556E+03,0.000000E+00,5.643647E-01,0.000000E+00,1.279676E+04,0.000000E+00,8.963039E-01,0.000000E+00,8.085880E+03,0.000000E+00,5.663487E-01,0.000000E+00,1.276863E+04,1.400850E+01,8.943333E-01,8.012745E-04,1.357970E+04,4.029120E+03,9.511224E-01,2.295300E-01 
01:15:00,8.853140E+03,0.000000E+00,6.200894E-01,0.000000E+00,1.467067E+04,0.000000E+00,1.027557E+00,0.000000E+00,8.938512E+03,0.000000E+00,6.260691E-01,0.000000E+00,2.360508E+04,0.000000E+00,1.653474E+00,0.000000E+00,2.730748E+04,0.000000E+00,1.912800E+00,0.000000E+00,6.391986E+03,0.000000E+00,4.477036E-01,0.000000E+00,1.003383E+04,0.000000E+00,7.027811E-01,0.000000E+00,6.445084E+03,0.000000E+00,4.514227E-01,0.000000E+00,9.972488E+03,4.142261E+02,6.984845E-01,2.359639E-02,6.381687E+03,3.754376E+03,4.469698E-01,2.138770E-01,8.057560E+03,0.000000E+00,5.643651E-01,0.000000E+00,1.279677E+04,0.000000E+00,8.963045E-01,0.000000E+00,8.085884E+03,0.000000E+00,5.663490E-01,0.000000E+00,1.276864E+04,5.895419E+01,8.943339E-01,3.361577E-03,1.357973E+04,4.234603E+03,9.511243E-01,2.412371E-01 
01:30:00,8.853147E+03,0.000000E+00,6.200899E-01,0.000000E+00,1.467068E+04,0.000000E+00,1.027558E+00,0.000000E+00,8.938519E+03,0.000000E+00,6.260696E-01,0.000000E+00,2.360518E+04,0.000000E+00,1.653482E+00,0.000000E+00,2.730760E+04,0.000000E+00,1.912808E+00,0.000000E+00,6.392022E+03,0.000000E+00,4.477062E-01,0.000000E+00,1.003390E+04,0.000000E+00,7.027858E-01,0.000000E+00,6.445120E+03,0.000000E+00,4.514253E-01,0.000000E+00,9.972554E+03,4.544028E+02,6.984891E-01,2.588516E-02,6.381976E+03,3.900047E+03,4.469901E-01,2.221763E-01,8.057564E+03,0.000000E+00,5.643653E-01,0.000000E+00,1.279678E+04,0.000000E+00,8.963050E-01,0.000000E+00,8.085889E+03,0.000000E+00,5.663493E-01,0.000000E+00,1.276864E+04,1.113027E+02,8.943344E-01,6.343584E-03,1.357976E+04,4.399835E+03,9.511261E-01,2.506511E-01 
01:45:00,8.853153E+03,0.000000E+00,6.200903E-01,0.000000E+00,1.467070E+04,0.000000E+00,1.027559E+00,0.000000E+00,8.938526E+03,0.000000E+00,6.260701E-01,0.000000E+00,2.360529E+04,0.000000E+00,1.653489E+00,0.000000E+00,2.730772E+04,0.000000E+00,1.912816E+00,0.000000E+00,6.392058E+03,0.000000E+00,4.477087E-01,0.000000E+00,1.003396E+04,0.000000E+00,7.027903E-01,0.000000E+00,6.445156E+03,0.000000E+00,4.514278E-01,0.000000E+00,9.972618E+03,4.879735E+02,6.984936E-01,2.779762E-02,6.382259E+03,4.028426E+03,4.470099E-01,2.294903E-01,8.057568E+03,0.000000E+00,5.643656E-01,0.000000E+00,1.279679E+04,0.000000E+00,8.963055E-01,0.000000E+00,8.085893E+03,0.000000E+00,5.663496E-01,0.000000E+00,1.276865E+04,1.801443E+02,8.943348E-01,1.026512E-02,1.357978E+04,4.530356E+03,9.511278E-01,2.580874E-01 
02:00:00,8.853159E+03,0.000000E+00,6.200908E-01,0.000000E+00,1.467071E+04,0.000000E+00,1.027560E+00,0.000000E+00,8.938532E+03,0.000000E+00,6.260705E-01,0.000000E+00,2.360538E+04,0.000000E+00,1.653496E+00,0.000000E+00,2.730783E+04,0.000000E+00,1.912824E+00,0.000000E+00,6.392092E+03,0.000000E+00,4.477111E-01,0.000000E+00,1.003403E+04,4.873255E+00,7.027947E-01,2.781594E-04,6.445190E+03,0.000000E+00,4.514302E-01,0.000000E+00,9.972680E+03,5.164138E+02,6.984979E-01,2.941782E-02,6.382535E+03,4.140136E+03,4.470292E-01,2.358547E-01,8.057572E+03,0.000000E+00,5.643659E-01,0.000000E+00,1.279679E+04,0.000000E+00,8.963059E-01,0.000000E+00,8.085896E+03,0.000000E+00,5.663498E-01,0.000000E+00,1.276866E+04,2.451430E+02,8.943353E-01,1.396449E-02,1.357980E+04,4.644917E+03,9.511294E-01,2.646145E-01 
02:15:00,8.853165E+03,0.000000E+00,6.200912E-01,0.000000E+00,1.467072E+04,0.000000E+00,1.027560E+00,0.000000E+00,8.938538E+03,0.000000E+00,6.260710E-01,0.000000E+00,2.360547E+04,0.000000E+00,1.653502E+00,0.000000E+00,2.730793E+04,0.000000E+00,1.912832E+00,0.000000E+00,6.392126E+03,0.000000E+00,4.477134E-01,0.000000E+00,1.003409E+04,2.711901E+01,7.027989E-01,1.545364E-03,6.445224E+03,6.260251E+00,4.514325E-01,3.569450E-04,9.972741E+03,5.413295E+02,6.985022E-01,3.083724E-02,6.382804E+03,4.244056E+03,4.470481E-01,2.417753E-01,8.057575E+03,0.000000E+00,5.643661E-01,0.000000E+00,1.279680E+04,0.000000E+00,8.963063E-01,0.000000E+00,8.085900E+03,0.000000E+00,5.663500E-01,0.000000E+00,1.276866E+04,2.878681E+02,8.943357E-01,1.639838E-02,1.357982E+04,4.751521E+03,9.511309E-01,2.706877E-01 
02:30:00,8.853170E+03,0.000000E+00,6.200915E-01,0.000000E+00,1.467073E+04,0.000000E+00,1.027561E+00,0.000000E+00,8.938544E+03,0.000000E+00,6.260714E-01,0.000000E+00,2.360556E+04,0.000000E+00,1.653508E+00,0.000000E+00,2.730803E+04,0.000000E+00,1.912839E+00,0.000000E+00,6.392158E+03,0.000000E+00,4.477157E-01,0.000000E+00,1.003415E+04,5.514360E+01,7.028031E-01,3.141762E-03,6.445257E+03,1.828567E+01,4.514348E-01,1.041961E-03,9.972799E+03,5.634404E+02,6.985063E-01,3.209688E-02,6.383067E+03,4.347873E+03,4.470665E-01,2.476898E-01,8.057578E+03,0.000000E+00,5.643663E-01,0.000000E+00,1.279680E+04,1.787671E+01,8.963067E-01,1.019763E-03,8.085903E+03,0.000000E+00,5.663503E-01,0.000000E+00,1.276867E+04,3.302663E+02,8.943360E-01,1.881366E-02,1.357984E+04,4.862024E+03,9.511323E-01,2.769828E-01 
